DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,BIDEX,ASKEX,QU_SEQNUM,NATBBO_IND,NASDBBO_IND,QU_CANCEL,QU_SOURCE
20140304,12:52:09.685,K,HZO,,15.65,1,15.66,1,R,K,K,12506509,6,2,,C
20140304,12:52:16.410,T,HZO,,15.65,1,15.67,1,R,T,T,12511440,0,2,,C
20140304,12:52:40.424,N,HZO,,15.61,1,15.66,1,R,N,N,12524573,6,2,,C
20140304,12:52:42.627,T,HZO,,15.65,1,15.66,1,R,T,T,12525479,0,2,,C
20140304,12:53:20.788,T,HZO,,15.65,1,15.66,2,R,T,T,12548171,6,2,,C
20140304,12:53:44.423,T,HZO,,15.65,1,15.66,1,R,T,T,12561540,6,2,,C
20140304,12:53:47.629,Z,HZO,,15.62,1,15.66,1,R,Z,Z,12562664,0,2,,C
20140304,12:53:47.978,T,HZO,,15.65,1,15.66,2,R,T,T,12562882,6,2,,C
20140304,12:54:17.611,Y,HZO,,15.39,1,15.66,1,R,Y,Y,12587452,0,2,,C
20140304,12:54:24.511,T,HZO,,15.64,1,15.66,2,R,T,T,12591732,0,2,,C
20140304,12:54:24.511,T,HZO,,15.64,1,15.66,3,R,T,T,12591733,6,2,,C
20140304,12:54:24.511,B,HZO,,0,0,0,0,R,B,B,12591734,6,2,,C
20140304,12:54:24.515,T,HZO,,15.64,1,15.66,2,R,T,T,12591749,6,2,,C
20140304,12:54:24.523,C,HZO,,15.65,1,15.86,1,R,C,C,12591758,0,2,,C
20140304,12:54:24.536,K,HZO,,14.46,1,15.66,1,R,K,K,12591771,0,2,,C
20140304,12:54:24.536,P,HZO,,15.62,1,15.66,1,R,P,P,12591772,6,2,,C
20140304,12:54:24.548,K,HZO,,15.65,1,15.66,1,R,K,K,12591781,0,2,,C
20140304,12:54:24.549,C,HZO,,15.47,1,15.86,1,R,C,C,12591782,6,2,,C
20140304,12:54:24.590,K,HZO,,14.46,1,15.66,1,R,K,K,12591813,6,2,,C
20140304,12:54:24.591,T,HZO,,15.64,1,15.65,1,R,T,T,12591814,1,2,,C
20140304,12:54:24.594,Y,HZO,,15.39,1,15.87,1,R,Y,Y,12591815,0,2,,C
20140304,12:54:24.594,Z,HZO,,15.62,1,15.72,1,R,Z,Z,12591816,0,2,,C
20140304,12:54:24.595,P,HZO,,15.62,1,15.76,2,R,P,P,12591817,0,2,,C
20140304,12:54:24.597,T,HZO,,15.56,1,15.65,1,R,T,T,12591819,6,2,,C
20140304,12:54:24.599,N,HZO,,15.61,1,15.65,1,R,N,N,12591821,0,2,,C
20140304,12:54:24.648,Y,HZO,,15.39,1,15.87,1,R,Y,Y,12591835,0,2,A,C
20140304,12:54:24.649,N,HZO,,15.61,1,15.65,1,R,N,N,12591836,0,2,A,C
20140304,12:54:24.698,T,HZO,,15.58,1,15.65,1,R,T,T,12591855,6,2,,C
20140304,12:54:24.742,T,HZO,,15.58,1,15.66,2,R,T,T,12591870,0,2,,C
20140304,12:54:30.580,N,HZO,,15.61,1,15.66,1,R,N,N,12596023,6,2,A,C
20140304,12:54:30.585,P,HZO,,15.62,1,15.66,3,R,P,P,12596024,6,2,,C
20140304,12:54:30.595,N,HZO,,15.61,1,15.65,1,R,N,N,12596025,6,2,A,C
20140304,12:54:30.600,P,HZO,,15.62,1,15.65,1,R,P,P,12596026,0,2,,C
20140304,12:54:32.941,T,HZO,,15.58,1,15.66,1,R,T,T,12597451,0,2,,C
20140304,12:54:32.941,T,HZO,,15.58,1,15.65,1,R,T,T,12597452,0,2,,C
20140304,12:54:36.910,T,HZO,,15.58,1,15.64,1,R,T,T,12599169,6,2,,C
20140304,12:54:36.911,N,HZO,,15.56,1,15.65,1,R,N,N,12599170,0,2,A,C
20140304,12:54:36.912,N,HZO,,15.56,1,15.65,1,R,N,N,12599171,0,2,,C
20140304,12:54:36.914,P,HZO,,15.52,1,15.65,1,R,P,P,12599173,0,2,,C
20140304,12:54:36.914,P,HZO,,15.52,1,15.76,2,R,P,P,12599174,0,2,,C
20140304,12:54:36.916,N,HZO,,15.56,1,15.66,1,R,N,N,12599175,0,2,,C
20140304,12:54:36.916,T,HZO,,15.61,1,15.64,1,R,T,T,12599176,0,2,,C
20140304,12:54:36.918,N,HZO,,15.56,1,15.64,1,R,N,N,12599177,0,2,,C
20140304,12:54:36.934,Y,HZO,,15.39,1,15.87,1,R,Y,Y,12599178,0,2,,C
20140304,12:54:37.060,T,HZO,,15.61,1,15.65,1,R,T,T,12599230,6,2,,C
20140304,12:54:37.710,P,HZO,,15.52,1,15.76,1,R,P,P,12599784,0,2,,C
20140304,12:54:37.710,P,HZO,,15.52,1,15.74,1,R,P,P,12599785,0,2,,C
20140304,12:54:37.712,N,HZO,,15.57,1,15.64,1,R,N,N,12599797,0,2,,C
20140304,12:54:37.766,Z,HZO,,15.56,1,15.72,1,R,Z,Z,12599859,6,2,,C
20140304,12:54:41.709,P,HZO,,15.36,1,15.74,1,R,P,P,12601772,0,2,,C
