DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,BIDEX,ASKEX,QU_SEQNUM,NATBBO_IND,NASDBBO_IND,QU_CANCEL,QU_SOURCE
20140304,10:59:32.323,Y,ACW,,4.78,1,4.89,1,R,Y,Y,7548784,0,0,A,C
20140304,10:59:32.323,B,ACW,,0,0,4.89,1,R,B,B,7548785,0,0,A,C
20140304,10:59:32.323,N,ACW,,4.87,1,4.89,3,R,N,N,7548786,6,0,A,C
20140304,10:59:32.323,N,ACW,,4.87,1,4.89,4,R,N,N,7548787,0,0,A,C
20140304,10:59:32.324,N,ACW,,4.87,1,4.89,4,R,N,N,7548788,0,0,A,C
20140304,10:59:32.324,J,ACW,,4.8,7,5.18,1,R,J,J,7548789,6,0,A,C
20140304,10:59:32.324,Y,ACW,,4.78,1,4.94,2,R,Y,Y,7548790,0,0,A,C
20140304,10:59:32.324,C,ACW,,4.86,1,0,0,R,C,C,7548791,0,0,A,C
20140304,10:59:32.325,B,ACW,,0,0,0,0,R,B,B,7548793,0,0,A,C
20140304,10:59:32.325,N,ACW,,4.87,1,4.89,4,R,N,N,7548794,0,0,A,C
20140304,10:59:32.326,W,ACW,,4.75,1,5.03,1,R,W,W,7548796,0,0,A,C
20140304,10:59:32.326,W,ACW,,4.75,1,5.08,3,R,W,W,7548797,0,0,A,C
20140304,10:59:32.331,C,ACW,,4.86,1,5.02,1,R,C,C,7548799,0,0,A,C
20140304,10:59:32.332,W,ACW,,4.75,1,5.03,1,R,W,W,7548800,0,0,A,C
20140304,10:59:32.356,B,ACW,,0,0,4.96,1,R,B,B,7548815,0,0,A,C
20140304,10:59:32.356,P,ACW,,4.87,1,5.02,1,R,P,P,7548816,6,0,A,C
20140304,10:59:32.467,T,ACW,,4.86,1,4.92,1,R,T,T,7548869,0,0,A,C
20140304,10:59:32.468,B,ACW,,0,0,0,0,R,B,B,7548870,0,0,A,C
20140304,10:59:32.468,Z,ACW,,4.84,1,4.92,1,R,Z,Z,7548871,0,0,A,C
20140304,10:59:34.266,N,ACW,,4.87,1,4.89,3,R,N,N,7550185,6,0,A,C
20140304,10:59:34.266,N,ACW,,4.87,1,4.89,2,R,N,N,7550186,6,0,A,C
20140304,10:59:34.280,N,ACW,,4.88,4,4.89,2,R,N,N,7550207,1,0,A,C
20140304,10:59:34.282,Y,ACW,,4.78,1,4.94,1,R,Y,Y,7550209,0,0,A,C
20140304,10:59:34.282,Y,ACW,,4.78,1,5.03,1,R,Y,Y,7550210,0,0,A,C
20140304,10:59:34.284,X,ACW,,4.88,1,0,0,R,X,X,7550211,0,0,A,C
